Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom1_7b,family,pawsx,52.47666666666667,0.2514623895005617,3,0.14518187826921583,0.6246672048686879,51.85199946179798,53.10133387153535
bloom1_7b,family,xcopa,55.98333333333333,0.18770544300401723,3,0.10837178804672731,0.46628616968461734,55.51704716364871,56.44961950301794
bloom1_7b,family,xnli,39.76333333333333,0.18770544300401107,3,0.10837178804672375,0.46628616968460196,39.29704716364873,40.22961950301793
bloom1_7b,family,xstorycloze,57.56333333333333,0.015275252316512939,3,0.0088191710368782,0.03794583033737844,57.525387502995954,57.60127916367071
bloom1_7b,family,xwinograd,67.93333333333334,0.28360771028540954,3,0.1637409878775346,0.7045206084896432,67.22881272484369,68.63785394182298
bloom1_7b,geo,pawsx,50.53333333333334,0.6001111008249492,3,0.3464743056049671,1.490758616855325,49.042574716478015,52.02409195018866
bloom1_7b,geo,xcopa,56.086666666666666,0.13503086067019357,3,0.07796010375684312,0.3354352532535473,55.751231413413116,56.422101919920216
bloom1_7b,geo,xnli,39.81666666666667,0.2042873792805949,3,0.11794537341969465,0.5074779829246538,39.309188683742015,40.324144649591325
bloom1_7b,geo,xstorycloze,58.16,0.12124355652981773,3,0.06999999999999788,0.30118569109378013,57.85881430890622,58.461185691093775
bloom1_7b,geo,xwinograd,67.89,0.2961418578992187,3,0.17097758137642982,0.7356571572629229,67.15434284273708,68.62565715726292
bloom1_7b,learned,pawsx,51.13333333333333,0.040414518843279096,3,0.02333333333333639,0.10039523036460957,51.03293810296872,51.233728563697944
bloom1_7b,learned,xcopa,55.81,0.03605551275464282,3,0.020816659994663016,0.08956685895367165,55.72043314104633,55.899566858953676
bloom1_7b,learned,xnli,40.12,0.0500000000000016,3,0.028867513459482214,0.1242068855921916,39.9957931144078,40.24420688559219
bloom1_7b,learned,xstorycloze,57.96333333333333,0.09712534856222386,3,0.05607534613753618,0.2412727411393897,57.72206059219394,58.20460607447272
bloom1_7b,learned,xwinograd,67.55,0.41073105555825495,3,0.23713568549109765,1.0203125045376527,66.52968749546234,68.57031250453765
bloom1_7b,random,pawsx,51.04333333333333,0.2150193789715981,3,0.12414149633023833,0.5341377480805705,50.50919558525276,51.5774710814139
bloom1_7b,random,xcopa,55.73333333333333,0.10692676621563516,3,0.06173419725817314,0.2656208123617598,55.46771252097157,55.99895414569509
bloom1_7b,random,xnli,39.93,0.14177446878757693,3,0.08185352771872374,0.3521873044918349,39.577812695508165,40.282187304491835
bloom1_7b,random,xstorycloze,58.00333333333333,0.13650396819629101,3,0.07881060278358074,0.33909465521272675,57.664238678120604,58.342427988546056
bloom1_7b,random,xwinograd,67.12333333333333,0.2836077102854148,3,0.16374098787753766,0.7045206084896564,66.41881272484368,67.827853941823
